Agreement,Step,Δcount,Δroots,Δorphans,Δdepth,Δretyped
15,ImprovedMetadataRemoverV7,0,0,0,0,378
15,LateMetadataRemoverStep,-5,0,0,0,0
15,LegalContentClassifierV6,50,5,45,3,0
15,MainTitleClassifierV6,9,9,0,0,0
15,SmartSectionClassifierV6,35,16,19,3,0
15,TextClassifier,0,0,0,0,1509
16,ContentClassifierV6,598,0,598,4,0
16,EmptyElementClassifier,0,0,0,0,16
16,EnhancedClauseClassifierV6,104,0,104,5,0
16,EnhancedTOCDetector,1,1,0,1,0
16,HeadingClassifierV6,67,42,25,0,0
16,ImprovedMetadataRemoverV7,0,0,0,0,463
16,LateMetadataRemoverStep,-5,0,0,0,0
16,LegalContentClassifierV6,59,5,54,3,0
16,MainTitleClassifierV6,10,10,0,0,0
16,SmartSectionClassifierV6,38,19,19,3,0
16,TextClassifier,0,0,0,0,1572
17,ContentClassifierV6,666,0,666,4,0
17,EmptyElementClassifier,0,0,0,0,16
17,EnhancedClauseClassifierV6,115,0,115,5,0
17,EnhancedTOCDetector,1,1,0,1,0
17,HeadingClassifierV6,75,50,25,0,0
17,ImprovedMetadataRemoverV7,0,0,0,0,522
17,LateMetadataRemoverStep,-5,0,0,0,0
17,LegalContentClassifierV6,70,9,61,3,0
17,MainTitleClassifierV6,11,11,0,0,0
17,SmartSectionClassifierV6,47,26,21,3,0
17,TextClassifier,0,0,0,0,1649
18,ContentClassifierV6,667,0,667,4,0
18,EmptyElementClassifier,0,0,0,0,16
18,EnhancedClauseClassifierV6,115,0,115,5,0
18,EnhancedTOCDetector,1,1,0,1,0
18,HeadingClassifierV6,75,50,25,0,0
18,ImprovedMetadataRemoverV7,0,0,0,0,522
18,LateMetadataRemoverStep,-5,0,0,0,0
18,LegalContentClassifierV6,70,9,61,3,0
18,MainTitleClassifierV6,11,11,0,0,0
18,SmartSectionClassifierV6,47,26,21,3,0
18,TextClassifier,0,0,0,0,1657
19,ContentClassifierV6,672,0,672,4,0
19,EmptyElementClassifier,0,0,0,0,16
19,EnhancedClauseClassifierV6,115,0,115,5,0
19,EnhancedTOCDetector,1,1,0,1,0
19,HeadingClassifierV6,77,52,25,0,0
19,ImprovedMetadataRemoverV7,0,0,0,0,525
19,LateMetadataRemoverStep,-5,0,0,0,0
19,LegalContentClassifierV6,70,9,61,3,0
19,MainTitleClassifierV6,12,12,0,0,0
19,SmartSectionClassifierV6,48,26,22,3,0
19,TextClassifier,0,0,0,0,1674
20,ContentClassifierV6,679,0,679,4,0
20,EmptyElementClassifier,0,0,0,0,16
20,EnhancedClauseClassifierV6,123,0,123,5,0
20,EnhancedTOCDetector,1,1,0,1,0
20,HeadingClassifierV6,79,54,25,0,0
20,ImprovedMetadataRemoverV7,0,0,0,0,530
20,LateMetadataRemoverStep,-5,0,0,0,0
20,LegalContentClassifierV6,70,9,61,3,0
20,MainTitleClassifierV6,12,12,0,0,0
20,SmartSectionClassifierV6,48,26,22,3,0
20,TextClassifier,0,0,0,0,1692
21,ContentClassifierV6,692,0,692,4,0
21,EmptyElementClassifier,0,0,0,0,16
21,EnhancedClauseClassifierV6,123,0,123,5,0
21,EnhancedTOCDetector,1,1,0,1,0
21,HeadingClassifierV6,79,54,25,0,0
21,ImprovedMetadataRemoverV7,0,0,0,0,532
21,LateMetadataRemoverStep,-5,0,0,0,0
21,LegalContentClassifierV6,74,9,65,3,0
21,MainTitleClassifierV6,13,13,0,0,0
21,SmartSectionClassifierV6,48,26,22,3,0
21,TextClassifier,0,0,0,0,1705
22,ContentClassifierV6,695,0,695,4,0
22,EmptyElementClassifier,0,0,0,0,16
22,EnhancedClauseClassifierV6,123,0,123,5,0
22,EnhancedTOCDetector,1,1,0,1,0
22,HeadingClassifierV6,79,54,25,0,0
22,ImprovedMetadataRemoverV7,0,0,0,0,533
22,LateMetadataRemoverStep,-5,0,0,0,0
22,LegalContentClassifierV6,77,9,68,3,0
22,MainTitleClassifierV6,14,14,0,0,0
22,SmartSectionClassifierV6,48,26,22,3,0
22,TextClassifier,0,0,0,0,1708
23,ContentClassifierV6,701,0,701,4,0
23,EmptyElementClassifier,0,0,0,0,16
23,EnhancedClauseClassifierV6,123,0,123,5,0
23,EnhancedTOCDetector,1,1,0,1,0
23,HeadingClassifierV6,79,54,25,0,0
23,ImprovedMetadataRemoverV7,0,0,0,0,534
23,LateMetadataRemoverStep,-5,0,0,0,0
23,LegalContentClassifierV6,78,10,68,3,0
23,MainTitleClassifierV6,14,14,0,0,0
23,SmartSectionClassifierV6,52,30,22,3,0
23,TextClassifier,0,0,0,0,1713
24,ContentClassifierV6,702,0,702,4,0
24,EmptyElementClassifier,0,0,0,0,16
24,EnhancedClauseClassifierV6,123,0,123,5,0
24,EnhancedTOCDetector,1,1,0,1,0
24,HeadingClassifierV6,79,54,25,0,0
24,ImprovedMetadataRemoverV7,0,0,0,0,540
24,LateMetadataRemoverStep,-5,0,0,0,0
24,LegalContentClassifierV6,78,10,68,3,0
24,MainTitleClassifierV6,14,14,0,0,0
24,SmartSectionClassifierV6,52,30,22,3,0
24,TextClassifier,0,0,0,0,1852
25,ContentClassifierV6,750,0,750,4,0
25,EmptyElementClassifier,0,0,0,0,16
25,EnhancedClauseClassifierV6,123,0,123,5,0
25,EnhancedTOCDetector,1,1,0,1,0
25,HeadingClassifierV6,87,62,25,0,0
25,ImprovedMetadataRemoverV7,0,0,0,0,560
25,LateMetadataRemoverStep,-5,0,0,0,0
25,LegalContentClassifierV6,87,12,75,3,0
