Agreement,Step,Δelement_count,Δroots,Δorphans,Δdepth,Δretyped
6,LegalContentClassifierV6,0,0,0,0,0
6,MainTitleClassifierV6,0,0,0,0,0
6,OrphanAttacherStep,0,0,0,0,0
6,PageContinuationMerger,0,0,0,0,0
6,RepeatedHeaderFooterDetector,0,0,0,0,0
6,SmartSectionClassifierV6,0,0,0,0,0
6,TableClassifier,0,0,0,0,0
6,TableOfContentsClassifier,0,0,0,0,0
6,TableRootPromoter,0,0,0,0,0
6,TextClassifier,0,0,0,0,560
6,TextElementMerger,0,0,0,0,0
6,VisualHeadingDetector,0,0,0,0,0
7,ConsecutivePageNumberClassifier,0,0,0,0,0
7,ContentClassifierV6,0,0,0,0,0
7,EarlyMetadataRemoverStep,0,0,0,0,0
7,EmptyElementClassifier,0,0,0,0,0
7,EnhancedClauseClassifierV6,0,0,0,0,87
7,EnhancedTOCDetector,0,0,0,0,0
7,FallbackTitleClassifier,0,0,0,0,0
7,HeadingClassifierV6,0,0,0,0,0
7,HierarchyBuilder,0,0,0,0,0
7,HtmlCommentRemoverStep,0,0,0,0,0
7,ImprovedMetadataRemoverv8,0,0,0,0,129
7,LateMetadataRemoverStep,0,0,0,0,0
7,LegalContentClassifierV6,0,0,0,0,0
7,MainTitleClassifierV6,0,0,0,0,0
7,OrphanAttacherStep,0,0,0,0,0
7,PageContinuationMerger,0,0,0,0,0
7,RepeatedHeaderFooterDetector,0,0,0,0,0
7,SmartSectionClassifierV6,0,0,0,0,0
7,TableClassifier,0,0,0,0,0
7,TableOfContentsClassifier,0,0,0,0,0
7,TableRootPromoter,0,0,0,0,0
7,TextClassifier,0,0,0,0,591
7,TextElementMerger,0,0,0,0,0
7,VisualHeadingDetector,0,0,0,0,0
8,ConsecutivePageNumberClassifier,0,0,0,0,0
8,ContentClassifierV6,0,0,0,0,0
8,EarlyMetadataRemoverStep,0,0,0,0,0
8,EmptyElementClassifier,0,0,0,0,0
8,EnhancedClauseClassifierV6,0,0,0,0,87
8,EnhancedTOCDetector,0,0,0,0,0
8,FallbackTitleClassifier,0,0,0,0,0
8,HeadingClassifierV6,0,0,0,0,0
8,HierarchyBuilder,0,0,0,0,0
8,HtmlCommentRemoverStep,0,0,0,0,0
8,ImprovedMetadataRemoverv8,0,0,0,0,129
8,LateMetadataRemoverStep,0,0,0,0,0
8,LegalContentClassifierV6,0,0,0,0,0
8,MainTitleClassifierV6,0,0,0,0,0
8,OrphanAttacherStep,0,0,0,0,0
8,PageContinuationMerger,0,0,0,0,0
8,RepeatedHeaderFooterDetector,0,0,0,0,0
8,SmartSectionClassifierV6,0,0,0,0,0
8,TableClassifier,0,0,0,0,0
8,TableOfContentsClassifier,0,0,0,0,0
8,TableRootPromoter,0,0,0,0,0
8,TextClassifier,0,0,0,0,591
8,TextElementMerger,0,0,0,0,0
8,VisualHeadingDetector,0,0,0,0,0
9,ConsecutivePageNumberClassifier,0,0,0,0,0
9,ContentClassifierV6,0,0,0,0,0
9,EarlyMetadataRemoverStep,0,0,0,0,0
9,EmptyElementClassifier,0,0,0,0,0
9,EnhancedClauseClassifierV6,0,0,0,0,87
9,EnhancedTOCDetector,0,0,0,0,0
9,FallbackTitleClassifier,0,0,0,0,0
9,HeadingClassifierV6,0,0,0,0,0
9,HierarchyBuilder,0,0,0,0,0
9,HtmlCommentRemoverStep,0,0,0,0,0
9,ImprovedMetadataRemoverv8,0,0,0,0,130
9,LateMetadataRemoverStep,0,0,0,0,0
9,LegalContentClassifierV6,0,0,0,0,0
9,MainTitleClassifierV6,0,0,0,0,0
9,OrphanAttacherStep,0,0,0,0,0
9,PageContinuationMerger,0,0,0,0,0
9,RepeatedHeaderFooterDetector,0,0,0,0,0
9,SmartSectionClassifierV6,0,0,0,0,0
9,TableClassifier,0,0,0,0,0
9,TableOfContentsClassifier,0,0,0,0,0
9,TableRootPromoter,0,0,0,0,0
9,TextClassifier,0,0,0,0,603
