Agreement,Step,Δcount,Δroots,Δorphans,Δdepth,Δretyped
4,FallbackTitleClassifier,0,0,0,0,0
4,HeadingClassifierV6,0,0,0,0,0
4,HierarchyBuilder,0,0,0,0,0
4,HtmlCommentRemoverStep,0,0,0,0,0
4,ImprovedMetadataRemoverV7,0,0,0,0,112
4,LateMetadataRemoverStep,0,0,0,0,0
4,LegalContentClassifierV6,0,0,0,0,0
4,MainTitleClassifierV6,0,0,0,0,0
4,OrphanAttacherStep,0,0,0,0,0
4,SmartSectionClassifierV6,0,0,0,0,0
4,TableClassifier,0,0,0,0,0
4,TableOfContentsClassifier,0,0,0,0,0
4,TableRootPromoter,0,0,0,0,0
4,TextClassifier,0,0,0,0,163
4,TextElementMerger,0,0,0,0,0
4,VisualHeadingDetector,0,0,0,0,0
5,ConsecutivePageNumberClassifier,0,0,0,0,0
5,ContentClassifierV6,0,0,0,0,0
5,EarlyMetadataRemoverStep,0,0,0,0,0
5,EmptyElementClassifier,0,0,0,0,3
5,EnhancedClauseClassifierV6,0,0,0,0,0
5,EnhancedTOCDetector,0,0,0,0,0
5,FallbackTitleClassifier,0,0,0,0,0
5,HeadingClassifierV6,0,0,0,0,0
5,HierarchyBuilder,0,0,0,0,0
5,HtmlCommentRemoverStep,0,0,0,0,0
5,ImprovedMetadataRemoverV7,0,0,0,0,118
5,LateMetadataRemoverStep,0,0,0,0,0
5,LegalContentClassifierV6,0,0,0,0,0
5,MainTitleClassifierV6,0,0,0,0,0
5,OrphanAttacherStep,0,0,0,0,0
5,SmartSectionClassifierV6,0,0,0,0,0
5,TableClassifier,0,0,0,0,0
5,TableOfContentsClassifier,0,0,0,0,0
5,TableRootPromoter,0,0,0,0,0
5,TextClassifier,0,0,0,0,501
5,TextElementMerger,0,0,0,0,0
5,VisualHeadingDetector,0,0,0,0,0
6,ConsecutivePageNumberClassifier,0,0,0,0,0
6,ContentClassifierV6,0,0,0,0,0
6,EarlyMetadataRemoverStep,0,0,0,0,0
6,EmptyElementClassifier,0,0,0,0,3
6,EnhancedClauseClassifierV6,0,0,0,0,0
6,EnhancedTOCDetector,0,0,0,0,0
6,FallbackTitleClassifier,0,0,0,0,0
6,HeadingClassifierV6,0,0,0,0,0
6,HierarchyBuilder,0,0,0,0,0
6,HtmlCommentRemoverStep,0,0,0,0,0
6,ImprovedMetadataRemoverV7,0,0,0,0,119
6,LateMetadataRemoverStep,0,0,0,0,0
6,LegalContentClassifierV6,0,0,0,0,0
6,MainTitleClassifierV6,0,0,0,0,0
6,OrphanAttacherStep,0,0,0,0,0
6,SmartSectionClassifierV6,0,0,0,0,0
6,TableClassifier,0,0,0,0,0
6,TableOfContentsClassifier,0,0,0,0,0
6,TableRootPromoter,0,0,0,0,0
6,TextClassifier,0,0,0,0,518
6,TextElementMerger,0,0,0,0,0
6,VisualHeadingDetector,0,0,0,0,0
7,ConsecutivePageNumberClassifier,0,0,0,0,0
7,ContentClassifierV6,0,0,0,0,0
7,EarlyMetadataRemoverStep,0,0,0,0,0
7,EmptyElementClassifier,0,0,0,0,3
7,EnhancedClauseClassifierV6,0,0,0,0,0
7,EnhancedTOCDetector,0,0,0,0,0
7,FallbackTitleClassifier,0,0,0,0,0
7,HeadingClassifierV6,0,0,0,0,0
7,HierarchyBuilder,0,0,0,0,0
7,HtmlCommentRemoverStep,0,0,0,0,0
7,ImprovedMetadataRemoverV7,0,0,0,0,127
7,LateMetadataRemoverStep,0,0,0,0,0
7,LegalContentClassifierV6,0,0,0,0,0
7,MainTitleClassifierV6,0,0,0,0,0
7,OrphanAttacherStep,0,0,0,0,0
7,SmartSectionClassifierV6,0,0,0,0,0
7,TableClassifier,0,0,0,0,0
7,TableOfContentsClassifier,0,0,0,0,0
7,TableRootPromoter,0,0,0,0,0
7,TextClassifier,0,0,0,0,549
7,TextElementMerger,0,0,0,0,0
7,VisualHeadingDetector,0,0,0,0,0
8,ConsecutivePageNumberClassifier,0,0,0,0,0
